6138 8750
0 1 1
0 3030 1
0 3770 1
1 4714 1
2 1 1
2 316 1
3 1 1
3 316 1
4 1 1
4 316 1
5 1 1
5 6 1
5 7 1
5 316 1
6 1 1
6 638 1
7 1 1
7 6 1
8 1 1
9 0 1
9 3521 1
10 0 1
10 9 1
10 3770 1
11 0 1
11 3770 1
12 0 1
13 0 1
14 2 1
14 57 1
14 66 1
14 68 1
14 114 1
14 115 1
14 117 1
14 129 1
14 131 1
14 134 1
14 135 1
14 190 1
14 197 1
14 202 1
14 211 1
14 226 1
14 227 1
14 234 1
14 255 1
14 273 1
14 315 1
14 316 1
14 366 1
14 386 1
14 404 1
14 438 1
14 440 1
14 536 1
14 538 1
14 539 1
14 541 1
14 544 1
14 581 1
14 626 1
14 688 1
14 733 1
14 827 1
14 895 1
14 897 1
14 905 1
14 919 1
14 1011 1
14 1137 1
14 1154 1
14 1156 1
14 1161 1
14 1187 1
14 1191 1
14 1330 1
14 1357 1
14 1566 1
14 1584 1
14 1640 1
14 1730 1
14 1734 1
14 1801 1
14 1803 1
14 1816 1
14 1817 1
14 1832 1
14 1881 1
14 2021 1
14 2134 1
14 2254 1
14 2255 1
14 2267 1
14 2291 1
14 2305 1
14 2465 1
14 2683 1
14 2694 1
14 2697 1
14 2729 1
14 2817 1
14 3101 1
14 3109 1
14 3152 1
14 3160 1
14 3444 1
14 3455 1
14 3522 1
14 3539 1
14 3663 1
14 3741 1
14 3749 1
14 3876 1
14 3908 1
14 3956 1
14 4129 1
14 4152 1
14 4155 1
14 4167 1
14 4183 1
14 4228 1
14 4381 1
14 4443 1
14 4491 1
14 4552 1
14 4811 1
14 4834 1
14 4984 1
14 5038 1
14 5141 1
14 5147 1
14 5170 1
14 5368 1
14 5807 1
14 5817 1
15 2 1
15 50 1
15 52 1
15 54 1
15 57 1
15 65 1
15 66 1
15 68 1
15 70 1
15 114 1
15 115 1
15 135 1
15 190 1
15 211 1
15 226 1
15 255 1
15 273 1
15 315 1
15 316 1
15 329 1
15 364 1
15 386 1
15 404 1
15 438 1
15 440 1
15 536 1
15 538 1
15 544 1
15 569 1
15 581 1
15 626 1
15 688 1
15 733 1
15 827 1
15 895 1
15 897 1
15 917 1
15 948 1
15 1011 1
15 1154 1
15 1161 1
15 1330 1
15 1331 1
15 1357 1
15 1360 1
15 1584 1
15 1610 1
15 1640 1
15 1730 1
15 1734 1
